Leonard Nimoy;2
Mamoru Oshii;5
Tobe Hooper;1
George Cukor;2
Mike Leigh;1
Roy Andersson;1
George Armitage;2
Jay Chandrasekhar;1
Godfrey Reggio;1
Jim Henson;2
Douglas Sirk;1
Werner Herzog;4
Katsuhiro Otomo;2
Michael Mann;7
Andrew Haigh;1
Ari Folman;1
Rowdy Herrington;1
Jeremy Saulnier;1
Jerome Robbins and Robert Wise;3
Robert Rodriguez;1
Ridley Scott;37
John Sturges;2
Vera Chytilova;1
Jacques Tati;2
Guillermo del Toro;13
Chen Kaige;1
Kevin Smith;2
Carol Reed;9
Justin Lin;1
Lana and Lilly Wachowski;9
John Mackenzie;1
Agnes Varda;1
Harmony Korine;1
Jim Abrahams and David and Jerry Zucker;8
Guel Arraes;1
Pierre Schoendoerffer;1
Park Chan-wook;2
Jon Favrae;1
Zacharias Kunuk;1
Damian Chazelle;2
Paul Thomas Anderson;26
Istvan Szabo;1
Harold Ramis;3
Shirley Clarke;1
Buster Keaton;1
Robert Wiene;1
Zhang Yimou;1
Lee Unkrich;2
Douglas Trumbull;1
Tom Holland;1
Gus Van Sant;2
Doug Liman;1
Stephen Frears;2
Jonathan Demme;6
John Cameron Mitchell;3
Alejandro Jodorowsku;1
Xavier Dolan;1
Elio Petri;1
Michael Lehman;1
Ava DuVernay;1
Gareth Edwards;2
Frank Borzage;1
Satoshi Kon;4
Pedro Almodovar;3
Nathan Greno and Byron Howard;1
Dean Parisot;1
Shusuke Kaneko;1
Danny Boyle;10
Sam Raimi;8
Robert Redford;1
Costa-Gavros;1
Scott Speer;1
Abel Gance;1
Robert Stevenson;2
Darren Aronofsky;3
Kathryn Bigelow;1
Paul Greenglass and Doug Liman;1
Peter Bogdanovich;3
Alfonso Cuaron;24
Jacques Tourneru;3
Stephen Chow;3
Wolf Rilla;1
Chris Marker;2
Bela Tarr;2
David Lynch;30
Eli Roth;2
Leo McCarey;5
John Hillcoat;1
Arthur Hiller;1
Quentin Tarantino;46
Ernst Lubitsch;2
Ondi Timoner;1
Jim Abrahams;2
Hirokazu Koreeda;1
Charlie Kaufman;3
Emile Ardolino;1
Frank Oz;3
Sarah Polley;1
Don Coscarell;1
Ron Clements and John Musker;7
Nobuhiko Obayashi;5
Prachya Pinkaew;1
John McTiernan;27
Todd Solondz;1
Yorgos Lanthimos;1
Richard Fleischer;1
James Foley;1
Garry Marshall;1
Atom Egoyan;1
Elem Klimov;2
Billy Wilder;17
Terrence Malick;8
Brian Henspn;2
Gil Junger;3
Alex Proyas;4
Steve Buscemi;1
Mary Harron;1
Paul Feig;1
Daniel Kwan and Daniel Scheinert;1
