Starship Troopers;1
If...;1
The Road;1
Paths Of Glory;1
The Social Network;5
8 1/2;2
In The Mood For Love;4
Moon;2
Chimes At Midnight;1
The Life And Death Of Colonel Blimp;1
Chungking Express;1
Nights Of Cabiria;1
Roman Holiday;1
Snatch;1
Sorcerer;1
The Hunt For Red October;1
Metropolis;2
Mon Oncle;1
Monty Python And The Holy Grail;12
Mulan;1
Batman: Mask Of The Phantasm;4
Cannibal! The Musical;1
Citizen Kane;21
Citizen Dog;1
Satantango;1
Hard Core Logo;1
Volver;1
To Be Or Not To Be;1
Butch Cassidy And The Sundance Kid;3
One Two Three;1
13 Assassins;1
Angus;1
Black Christmas;1
Blade Runner;18
A Nightmare On Elm Street;2
Blowup;1
The Man Who Shot Liberty Valance;1
The Maltese Falcon;1
The Mirror;1
Glengarry Glen Ross;1
Tron Legacy;1
Noah;1
The Terminator;2
Batman: The Movie;1
Guardians Of The Galaxy;3
The Florida Project;1
Hard Boiled;1
Enter The Void;1
Fantastic Mr. Fox;4
The Adventures Of Buckaroo Banzai Across The 8th Dimension;1
Psycho;8
Primer;1
Conan The Barbarian;1
RoboCop;13
The Outlaw Josey Wales;1
The Lord Of The Rings: The Two Towers;9
A Christmas Story;1
Elephant;1
All The President's Men;1
The Truman Show;5
Return To Oz;1
The Passion Of Joan Of Arc;3
Topsy-Turvy;1
The Cabinet Of Dr. Caligari;1
Grave Of The Fireflies;1
Rashomon;2
WALL-E;4
Annie Hall;1
Rock 'n' Roll High School;1
The Lobster;1
Before Sunrise;1
Wonder Woman;1
Zulu;2
Moana;2
The Sweet Hereafter;1
Heat;5
The Taking Of Pelham 1-2-3;1
American Psycho;1
Grosse Point Blank;2
Joe Versus The Volcano;1
Frankie And Johnny;1
Friday The 13th Part II;1
Dead Man;1
25th Hour;1
Calvary;1
Repulsion;2
Little Shop Of Horrors;3
Trainspotting;5
Dogville;1
Spider-Man 2;1
Edge Of Tomorrow;1
A Night At The Opera;1
Over The Garden Wall;1
Tinker Tailor Soldier Spy;2
Alien;18
The Incredibles;8
Anand;1
Hellraiser;1
Ninotchka;1
Abbott And Costello Meet Frankenstein;1
Dirty Dancing;1
Frances Ha;3
Harvey;1
Magnolia;2
The Fifth Element;8
Last Year At Marienbad;2
1900;1
Jurassic Park;12
Harsh Times;1
Close Encounters Of The Third Kind;2
Labyrinth;1
Straight Time;1
The Night Of The Hunter;6
Pee-Wee's Big Adventure;4
The Shining;9
The Producers;1
Ghost World;5
Face/Off;1
Repo Man;5
Waking Life;1
Phantasm;1
Doctor Zhivago;1
Little Big Man;1
When We Were Kings;1
Spring, Summer, Fall, Winter... And Spring;1
Punch-Drunk Love;1
The Emperor's New Groove;2
Christine;1
Seven Chances;1
Atanarjuat: The Fast Runner;1
The Conversation;3
Boogie Nights;8
King Of Hearts;2
The World's End;1
Waltz With Bashir;1
Uncle Boonmee Who Can Recall His Past Lives;1
Hedwig And The Angry Inch;3
Jackie Brown;6
Ever After;1
Reefer Madness: The Movie Musical;1
A.I. Artificial Intelligence;1
Battleship Potemkin;1
Mind Game;1
3:10 To Yuma;1
The Muppet Movie;2
History Of The World Part One;1
The Searchers;2
Breathless;1
Swiss Army Man;1
Toy Story 2;1
Toy Story 3;2
Moulin Rouge!;1
Kung Fu Panda 2;1
The Apartment;8
Mulholland Dr;16
Paterson;1
Rome, Open City;1
Robin Hood;1
Picnic At Hanging Rock;3
Two-Lane Blacktop;1
King Kong;2
The Last Dragon;1
Ratcatcher;1
Who Framed Roger Rabbit?;7
Streets Of Fire;1
The Princess Bride;16
They Live;2
La La Land;2
The Fountain;1
Lost In Translation;2
Love & Basketball;1
Weekend;1
The Red Shoes;1
Memento;4
The Wild Bunch;3
Spring Breakers;1
The Squid And The Whale;1
Nostalghia;1
Baahubali: The Conclusion;1
Birdman;4
The Little Mermaid;2
Anchorman;1
The Wages Of Fear;1
The Godfather Part II;8
Stories We Tell;1
Crouching Tiger, Hidden Dragon;3
Boyhood;2
Solaris;3
Invasion Of Astro Monster;1
Thor: Ragnarok;3
Super Troopers;1
Death Proof;1
The Empire Strikes Back;34
One Flew Over The Cuckoo's Nest;3
Logan;2
Antonia's Line;1
Captain America: The Winter Soldier;5
Stray Dog;1
How To Train Your Dragon;1
Amarcord;2
Aguirre, The Wrath Of God;1
Ghost In The Shell;5
Hot Shots! Part Deux;1
Iron Man;1
Cave Of Forgotten Dreams;1
The Nightmare Before Christmas;2
The Great Escape;2
Ashes And Diamonds;2
Late Spring;1
Wendy And Lucy;1
The Prince Of Egypt;1
Who's Afraid Of Virgina Woolf?;2
Opening Night;1
Hero;1
Salaam Bombay!;1
Sweet Smell Of Success;1
Pierrot Le Fou;2
The Last Emperor;1
The Graduate;4
24 Hour Party People;2
The Dead Zone;1
Dark City;4
The Last Picture Show;1
Escape From New York;1
Badlands;2
Star Wars: The Last Jedi;4
Village Of The Damned;1
Kwaidan;1
No Country For Old Men;8
It's Such A Beautiful Day;4
Blade Runner 2049;3
Colonel Redl;1
The Time Machine;1
Little Women;1
Werckmeister Harmonies;1
The Babadook;1
9 To 5;1
The Assassin;1
Step Brothers;2
Ran;4
Rear Window;12
Aliens;18
Jacob's Ladder;1
The Wind Rises;1
Pariah;1
